date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,59.0,190.0,7557.0,143396.33,187.987,237958.4,0.0,0.0,0.0,48834.26,,,,,143396.33,187.987
2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,111.0,780.0,20776.0,677589.36,894.121,1238254.48,0.0,0.0,0.0,116924.24,,,,,677589.36,894.121
2022-01-24,556.0,556.0,78175.0,589166.04,792.914,1177.0,1978.0,673.0,1305.0,2522.0,579.0,1.0,1146956.1300000001,0.0,2120302.0,103.0,103.0,204.0,988.0,34676.0,609109.91,722.2769999999999,1091429.8,42014.1,0.0,0.0,84775.92,,,,,19943.869999999995,-70.63700000000006
2022-01-25,666.0,666.0,78012.0,793280.43,979.061,1493.0,2701.0,838.0,1863.0,3010.0,623.0,1.0,1302053.35,0.0,2502827.0,119.0,119.0,209.0,806.0,38638.0,508764.24,580.797,879642.36,22417.260000000002,0.0,0.0,115468.86,,,,,-284516.19000000006,-398.264
2022-01-26,581.0,581.0,45351.0,567277.15,626.011,1285.0,2190.0,803.0,1387.0,2944.0,606.0,1.0,1063272.81,0.0,2413556.0,90.0,90.0,315.0,876.0,34291.0,435067.97,539.794,763796.66,14365.98,0.0,0.0,92036.3,,,,,-132209.18000000005,-86.21699999999998
2022-01-27,589.0,589.0,70040.0,608821.2,809.399,1244.0,2297.0,735.0,1562.0,2049.0,558.0,1.0,683469.26,0.0,1563140.25,100.0,100.0,279.0,1026.0,149829.0,613169.16,675.2909999999999,979499.16,46403.74,184.86,0.0,200250.56,,,,,4347.960000000079,-134.10800000000006
2022-01-28,681.0,681.0,82451.0,711386.11,852.74,1540.0,2614.0,918.0,1696.0,3080.0,728.0,1.0,1059930.33,0.0,2426716.0,149.0,149.0,336.0,1017.0,46252.0,573117.68,651.043,942513.56,12568.42,0.1,0.0,191154.28,,,,,-138268.42999999993,-201.697
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,33.0,205.0,6623.0,205706.3,248.801,380898.44,0.0,0.0,0.0,30514.16,,,,,205706.3,248.801
2022-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,87.0,649.0,18125.0,604931.93,759.934,1123264.26,0.0,0.0,0.0,86599.6,,,,,604931.93,759.934
2022-01-31,659.0,659.0,69739.0,772350.1,1038.809,1513.0,2361.0,982.0,1379.0,3001.0,610.0,1.0,1379841.73,0.0,2860562.0,94.0,94.0,155.0,580.0,16409.0,225327.94,234.555,335617.02,15169.06,5.6000000000000005,0.0,99864.2,,,,,-547022.1599999999,-804.2539999999999
