date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique
2024-04-25,2024,17,4,2683,1193.39666,298,1264,556
2024-04-26,2024,17,5,2353,744.047733,405,744,623
2024-04-27,2024,17,6,326,159.02998,5,154,57
2024-04-28,2024,17,7,26,4.88315,0,11,9
2024-04-29,2024,18,1,2246,848.270026,339,869,535
2024-04-30,2024,18,2,2117,862.12896,307,796,515
2024-05-01,2024,18,3,841,441.12566,23,449,81
2024-05-02,2024,18,4,2073,661.59359,453,698,636
2024-05-03,2024,18,5,2511,1001.56332,364,1074,617
2024-05-04,2024,18,6,328,123.62054,2,108,55
2024-05-05,2024,18,7,15,5.03984,0,6,5
2024-05-06,2024,19,1,2010,762.34826,353,783,529
2024-05-07,2024,19,2,2526,904.48748,396,864,599
2024-05-08,2024,19,3,2364,976.76395,342,1071,522
2024-05-09,2024,19,4,2343,856.50362,387,824,537
2024-05-10,2024,19,5,1746,714.14701,266,759,433
2024-05-11,2024,19,6,265,119.95474,7,111,31
2024-05-12,2024,19,7,22,17.60354,0,22,1
2024-05-13,2024,20,1,1919,661.30409,307,696,498
2024-05-14,2024,20,2,2567,957.2464200000001,390,934,564
2024-05-15,2024,20,3,2450,882.90344,378,891,577
2024-05-16,2024,20,4,2661,1084.30588,342,1066,555
2024-05-17,2024,20,5,2653,1151.485108,321,1142,544
2024-05-18,2024,20,6,401,201.46442,9,209,77
2024-05-19,2024,20,7,42,36.6323,0,42,3
2024-05-20,2024,21,1,1915,811.368832,282,784,467
2024-05-21,2024,21,2,2585,1084.347472,325,1081,572
2024-05-22,2024,21,3,2755,1171.017334,403,1232,602
2024-05-23,2024,21,4,2794,1007.061316,399,1073,681
2024-05-24,2024,21,5,2199,755.893972,426,831,608
2024-05-25,2024,21,6,221,107.941648,8,96,36
2024-05-26,2024,21,7,61,59.50808,0,61,4
2024-05-27,2024,22,1,1526,494.072356,340,478,492
2024-05-28,2024,22,2,2801,968.916298,529,846,696
2024-05-29,2024,22,3,3002,1105.3103839999999,485,1085,677
2024-05-30,2024,22,4,2112,707.9645399999999,403,734,535
2024-05-31,2024,22,5,2306,907.916916,346,920,555
2024-06-01,2024,22,6,268,188.27031,0,192,42
2024-06-02,2024,22,7,85,72.7924,0,85,6
2024-06-03,2024,23,1,2419,1008.650538,390,1001,542
2024-06-04,2024,23,2,2250,751.29283,391,691,523
2024-06-05,2024,23,3,2594,959.872988,439,938,638
2024-06-06,2024,23,4,2932,1166.97611,402,1281,626
2024-06-07,2024,23,5,2259,728.545886,437,758,588
2024-06-08,2024,23,6,340,159.013,0,169,42
2024-06-09,2024,23,7,96,29.34986,6,30,6
2024-06-10,2024,24,1,2206,818.728444,402,891,563
2024-06-11,2024,24,2,2738,756.37707,502,757,655
2024-06-12,2024,24,3,2938,1136.909722,399,1054,618
2024-06-13,2024,24,4,2664,903.246794,375,1089,578
2024-06-14,2024,24,5,2439,977.290104,358,1045,608
2024-06-15,2024,24,6,242,172.18128000000002,8,161,44
2024-06-16,2024,24,7,34,16.823439999999998,0,16,3
2024-06-17,2024,25,1,2173,821.084306,389,886,557
2024-06-18,2024,25,2,2684,1049.121194,374,981,617
2024-06-19,2024,25,3,2625,972.84201,416,980,644
2024-06-20,2024,25,4,2468,953.547178,360,935,567
2024-06-21,2024,25,5,2248,950.1324079999999,373,984,578
2024-06-22,2024,25,6,320,156.78185,1,146,53
2024-06-23,2024,25,7,46,5.729,0,28,4
2024-06-24,2024,26,1,2186,888.906156,390,859,547
2024-06-25,2024,26,2,2924,1270.034066,381,1226,591
2024-06-26,2024,26,3,3118,1143.104624,479,1130,674
2024-06-27,2024,26,4,2381,901.40377,351,972,554
2024-06-28,2024,26,5,2297,866.7033,335,948,561
2024-06-29,2024,26,6,475,177.71076,0,193,59
2024-06-30,2024,26,7,72,63.77344,0,72,5
2024-07-01,2024,27,1,2083,787.812914,351,798,545
2024-07-02,2024,27,2,2416,874.87426,320,903,552
2024-07-03,2024,27,3,2686,1006.749644,365,1034,616
2024-07-04,2024,27,4,2151,734.407464,411,757,621
2024-07-05,2024,27,5,1975,664.385188,378,628,482
2024-07-07,2024,27,7,55,35.060564,7,38,6
2024-07-08,2024,28,1,1958,832.218896,322,871,459
2024-07-09,2024,28,2,2193,774.538098,361,774,559
2024-07-10,2024,28,3,2775,889.833694,465,914,654
2024-07-11,2024,28,4,2564,901.85813,310,1116,509
2024-07-12,2024,28,5,2026,547.928738,461,589,612
2024-07-13,2024,28,6,339,115.91623,6,104,36
2024-07-14,2024,28,7,59,51.64348,0,56,5
2024-07-15,2024,29,1,2056,682.7640719999999,494,681,655
2024-07-16,2024,29,2,2738,1057.721122,339,1038,561
2024-07-17,2024,29,3,2582,985.075506,371,1027,575
2024-07-18,2024,29,4,2109,876.2613259999999,278,931,479
2024-07-19,2024,29,5,354,134.527156,61,139,100
2024-07-20,2024,29,6,66,39.551919999999996,11,43,16
2024-07-22,2024,30,1,1653,579.384966,354,588,477
2024-07-23,2024,30,2,2389,794.071078,387,793,583
2024-07-24,2024,30,3,2606,877.381286,464,918,633
2024-07-25,2024,30,4,2252,887.598292,310,973,590
2024-07-26,2024,30,5,2088,702.454446,290,765,483
2024-07-27,2024,30,6,218,133.044416,2,125,19
2024-07-28,2024,30,7,31,0.18284,18,1,12
2024-07-29,2024,31,1,1495,492.911136,219,484,389
2024-07-30,2024,31,2,1893,625.082922,260,626,417
2024-07-31,2024,31,3,2450,869.867604,284,886,434
2024-08-01,2024,31,4,1805,660.738394,306,734,444
2024-08-02,2024,31,5,1848,590.14649,387,565,500
2024-08-03,2024,31,6,309,131.99964,2,186,42
2024-08-05,2024,32,1,1582,634.0974219999999,276,600,391
2024-08-06,2024,32,2,2087,608.286606,366,598,512
2024-08-07,2024,32,3,2220,672.243562,352,630,481
2024-08-08,2024,32,4,1914,661.137888,262,711,376
2024-08-09,2024,32,5,1659,529.715268,297,591,440
2024-08-10,2024,32,6,235,122.74712000000001,0,132,25
2024-08-12,2024,33,1,1300,475.786928,216,460,321
2024-08-13,2024,33,2,2110,611.603566,414,636,557
2024-08-14,2024,33,3,1995,545.420068,306,541,465
2024-08-15,2024,33,4,1740,566.586902,244,556,394
2024-08-16,2024,33,5,1514,663.457374,216,687,345
2024-08-17,2024,33,6,88,57.78727,0,51,16
2024-08-19,2024,34,1,1684,523.682992,347,539,450
2024-08-20,2024,34,2,1928,621.953692,391,628,503
2024-08-21,2024,34,3,1963,641.243292,426,658,589
2024-08-22,2024,34,4,1846,611.737792,342,620,455
2024-08-23,2024,34,5,1689,557.384456,421,604,509
2024-08-24,2024,34,6,142,66.29975,2,89,17
2024-08-25,2024,34,7,13,2.4499999999999997,0,3,2
2024-08-26,2024,35,1,1699,565.941684,293,544,477
2024-08-27,2024,35,2,2061,647.964956,345,652,541
2024-08-28,2024,35,3,2582,828.229404,448,946,639
2024-08-29,2024,35,4,2427,947.663076,321,948,531
2024-08-30,2024,35,5,2275,992.661038,314,1003,529
2024-08-31,2024,35,6,218,131.04382999999999,0,130,35
2024-09-02,2024,36,1,2037,726.130466,328,757,527
2024-09-03,2024,36,2,2493,754.671804,375,791,568
2024-09-04,2024,36,3,2603,814.104272,401,903,657
2024-09-05,2024,36,4,3362,1181.704344,488,1189,703
2024-09-06,2024,36,5,2407,908.09487,440,993,666
2024-09-07,2024,36,6,365,240.84387999999998,6,251,39
2024-09-08,2024,36,7,23,23.285,0,21,2
2024-09-09,2024,37,1,2361,933.791956,402,957,573
2024-09-10,2024,37,2,2444,859.12966,370,822,584
2024-09-11,2024,37,3,2558,1003.294532,396,971,535
2024-09-12,2024,37,4,2317,821.71974,309,839,528
2024-09-13,2024,37,5,2150,720.228456,435,839,631
2024-09-14,2024,37,6,376,114.79714,34,104,50
2024-09-16,2024,38,1,1824,658.43382,327,673,521
2024-09-17,2024,38,2,2563,910.10965,439,839,639
2024-09-18,2024,38,3,2809,1063.436676,411,1081,622
2024-09-19,2024,38,4,2320,842.330818,344,861,558
2024-09-20,2024,38,5,2793,1166.5893,399,1285,632
2024-09-21,2024,38,6,208,148.13151,1,161,34
2024-09-22,2024,38,7,45,21.69285,0,39,24
2024-09-23,2024,39,1,2593,1112.600768,344,1081,613
2024-09-24,2024,39,2,2982,1136.793192,382,1139,612
2024-09-25,2024,39,3,2945,1095.874326,352,1209,666
2024-09-26,2024,39,4,2521,1059.15568,286,1106,538
2024-09-27,2024,39,5,2282,857.54491,350,914,627
2024-09-28,2024,39,6,382,201.22639,0,241,70
2024-09-29,2024,39,7,5,4.611000000000001,0,5,1
2024-09-30,2024,40,1,2119,652.716328,358,662,529
2024-10-01,2024,40,2,2042,598.679644,410,645,587
2024-10-02,2024,40,3,2387,773.009938,468,775,624
2024-10-03,2024,40,4,2428,917.15698,356,914,632
2024-10-04,2024,40,5,2489,956.068628,430,960,659
2024-10-05,2024,40,6,438,328.97636,0,316,58
2024-10-06,2024,40,7,68,20.293,1,32,5
2024-10-07,2024,41,1,1883,599.972398,363,623,542
2024-10-08,2024,41,2,2671,866.760648,383,840,642
2024-10-09,2024,41,3,3078,1058.279424,501,1106,748
2024-10-10,2024,41,4,2864,688.740186,576,812,789
2024-10-11,2024,41,5,2295,817.310966,419,925,678
2024-10-12,2024,41,6,425,153.570336,15,199,95
2024-10-13,2024,41,7,28,17.019000000000002,0,24,2
2024-10-14,2024,42,1,2836,1088.311718,432,1151,628
2024-10-15,2024,42,2,2831,936.441772,365,914,607
2024-10-16,2024,42,3,2583,832.134944,471,891,732
2024-10-17,2024,42,4,2688,936.910478,351,902,624
2024-10-18,2024,42,5,2500,1096.6148,359,1014,577
2024-10-19,2024,42,6,293,95.32385000000001,2,92,40
2024-10-20,2024,42,7,7,3.1109999999999998,0,3,3
2024-10-21,2024,43,1,1995,798.948904,366,861,552
2024-10-22,2024,43,2,2541,814.136534,397,848,609
2024-10-23,2024,43,3,2758,962.48491,429,933,673
2024-10-24,2024,43,4,2068,783.078242,309,754,509
2024-10-25,2024,43,5,1934,652.494746,343,660,543
2024-10-26,2024,43,6,119,35.76006,14,39,34
2024-10-28,2024,44,1,1906,692.33117,361,682,502
2024-10-29,2024,44,2,2808,1018.6004360000001,394,1015,622
2024-10-30,2024,44,3,2514,784.569528,383,782,570
2024-10-31,2024,44,4,2584,1034.146594,407,994,655
2024-11-01,2024,44,5,2208,938.175349,343,996,556
2024-11-02,2024,44,6,107,87.508,0,96,12
2024-11-04,2024,45,1,1969,703.252762,350,705,508
2024-11-05,2024,45,2,2418,822.9105529999999,423,853,603
2024-11-06,2024,45,3,1850,720.176577,283,728,430
2024-11-07,2024,45,4,2396,743.375864,436,756,622
2024-11-08,2024,45,5,2154,609.635516,435,678,622
2024-11-09,2024,45,6,329,286.74345999999997,0,264,29
2024-11-11,2024,46,1,2098,909.260442,344,940,566
2024-11-12,2024,46,2,2697,1047.927464,341,1038,634
2024-11-13,2024,46,3,2857,915.253566,452,908,664
2024-11-14,2024,46,4,2487,881.984418,405,962,612
2024-11-15,2024,46,5,2294,839.098746,358,892,536
2024-11-16,2024,46,6,393,197.293644,16,265,58
2024-11-18,2024,47,1,2069,696.023274,347,723,502
2024-11-19,2024,47,2,2690,937.13347,440,901,630
2024-11-20,2024,47,3,3257,794.563608,670,864,801
2024-11-21,2024,47,4,2706,1014.971816,390,971,593
2024-11-22,2024,47,5,2400,824.817474,461,881,628
2024-11-23,2024,47,6,272,82.28018,7,157,34
2024-11-25,2024,48,1,2041,839.413102,344,898,558
2024-11-26,2024,48,2,2384,809.5995360000001,448,803,695
2024-11-27,2024,48,3,2907,1059.19959,415,1109,670
2024-11-28,2024,48,4,2599,954.204568,403,1013,658
2024-11-29,2024,48,5,2405,862.1338,428,1016,680
2024-11-30,2024,48,6,383,248.95336,18,252,45
2024-12-01,2024,48,7,37,15.572,0,29,6
2024-12-02,2024,49,1,2500,888.26096,356,985,610
2024-12-03,2024,49,2,2634,960.8842539999999,370,979,659
2024-12-04,2024,49,3,2724,1028.653134,440,1032,678
2024-12-05,2024,49,4,2883,1021.77154,367,1084,642
2024-12-06,2024,49,5,2756,1013.946432,321,1268,577
2024-12-07,2024,49,6,273,158.12516,1,154,26
2024-12-09,2024,50,1,2381,871.246584,402,849,598
2024-12-10,2024,50,2,2787,1122.856784,408,1124,647
2024-12-11,2024,50,3,2685,1010.755178,430,1137,655
2024-12-12,2024,50,4,2468,951.935422,383,930,573
2024-12-13,2024,50,5,2355,697.694188,424,765,617
2024-12-14,2024,50,6,97,69.85978,2,61,13
2024-12-15,2024,50,7,63,20.4086,1,31,18
2024-12-16,2024,51,1,2531,916.000808,407,965,662
2024-12-17,2024,51,2,2386,702.502054,433,816,617
2024-12-18,2024,51,3,2055,1010.92391,173,1133,385
2024-12-19,2024,51,4,969,445.165858,115,433,190
2024-12-20,2024,51,5,456,185.85031,57,187,109
2024-12-23,2024,52,1,291,102.495,10,119,24
2024-12-27,2024,52,5,397,108.62189000000001,24,128,51
2024-12-29,2024,52,7,6,0.01184,6,0,6
2024-12-30,2025,1,1,551,26.211614,252,36,242
2025-01-01,2025,1,3,94,17.044159999999998,32,18,25
2025-01-02,2025,1,4,2754,720.302098,451,873,693
2025-01-03,2025,1,5,2797,1354.564346,253,1219,550
2025-01-04,2025,1,6,318,195.29452,0,216,49
2025-01-05,2025,1,7,128,47.191539999999996,12,46,13
2025-01-06,2025,2,1,2107,955.673846,269,934,397
2025-01-07,2025,2,2,2007,834.072004,224,764,410
2025-01-08,2025,2,3,2553,1039.762858,328,1018,506
2025-01-09,2025,2,4,2001,750.05316,318,739,480
2025-01-10,2025,2,5,1720,620.216392,312,655,459
2025-01-11,2025,2,6,67,41.96938,0,44,7
2025-01-13,2025,3,1,2167,789.99143,378,757,558
2025-01-14,2025,3,2,2108,653.220178,396,660,571
2025-01-15,2025,3,3,2303,807.339174,408,827,597
2025-01-16,2025,3,4,2981,1120.302544,393,1213,638
2025-01-17,2025,3,5,2553,1067.880624,369,1095,620
2025-01-18,2025,3,6,74,33.78034,1,56,20
2025-01-20,2025,4,1,1799,641.0803980000001,302,615,512
2025-01-21,2025,4,2,2462,964.041184,350,956,632
2025-01-22,2025,4,3,2752,1010.092124,467,1004,668
2025-01-23,2025,4,4,3063,813.095242,636,782,741
2025-01-24,2025,4,5,2414,917.736346,396,982,579
2025-01-25,2025,4,6,127,79.603722,3,82,23
2025-01-27,2025,5,1,1807,570.993454,418,579,566
2025-01-28,2025,5,2,3002,960.99929,588,952,768
2025-01-29,2025,5,3,3197,1077.305648,579,1099,816
2025-01-30,2025,5,4,2852,926.231548,491,984,681
2025-01-31,2025,5,5,2379,821.634636,365,906,586
2025-02-01,2025,5,6,514,271.27982,16,321,71
2025-02-02,2025,5,7,17,9.91873,0,7,3
2025-02-03,2025,6,1,2338,772.029492,459,807,651
2025-02-04,2025,6,2,2681,990.614618,453,1017,705
2025-02-05,2025,6,3,2701,984.711632,408,987,625
2025-02-06,2025,6,4,2822,1011.371962,358,1071,602
2025-02-07,2025,6,5,2474,836.921481,355,894,549
2025-02-08,2025,6,6,266,121.22061,10,102,40
2025-02-10,2025,7,1,2296,753.215184,449,814,642
2025-02-11,2025,7,2,2591,975.272228,433,1004,658
2025-02-12,2025,7,3,2741,1048.4408779999999,398,1039,677
2025-02-13,2025,7,4,2511,975.306548,351,898,603
2025-02-14,2025,7,5,2473,956.058074,371,1026,572
2025-02-15,2025,7,6,116,53.63145,5,56,12
2025-02-17,2025,8,1,2171,845.910674,324,903,543
2025-02-18,2025,8,2,2643,956.055466,324,989,595
2025-02-19,2025,8,3,2923,1104.74654,398,1145,661
2025-02-20,2025,8,4,2684,1214.37274,329,1148,585
2025-02-21,2025,8,5,2312,873.189626,467,926,651
2025-02-22,2025,8,6,337,214.98068,4,222,36
2025-02-24,2025,9,1,2381,891.38773,399,861,619
2025-02-25,2025,9,2,3013,955.55722,514,1082,738
2025-02-26,2025,9,3,2915,1161.77536,439,1184,669
2025-02-27,2025,9,4,2537,1031.67159,385,1062,597
2025-02-28,2025,9,5,2216,896.12604,341,946,551
2025-03-01,2025,9,6,231,168.22339,3,144,28
2025-03-03,2025,10,1,2147,852.9293,333,855,567
2025-03-04,2025,10,2,2821,915.70378,530,936,660
2025-03-05,2025,10,3,2738,1037.68619,365,1090,595
2025-03-06,2025,10,4,3056,1079.04674,441,1079,650
2025-03-07,2025,10,5,2472,871.30065,375,1000,621
2025-03-08,2025,10,6,432,369.5493,1,388,43
2025-03-10,2025,11,1,2522,951.96777,436,1012,649
2025-03-11,2025,11,2,2555,824.5906,455,830,670
2025-03-12,2025,11,3,2927,1150.69749,396,1139,643
2025-03-13,2025,11,4,2902,1084.77591,430,1073,730
2025-03-14,2025,11,5,2301,800.50293,340,907,620
2025-03-15,2025,11,6,252,217.97064,0,204,21
2025-03-17,2025,12,1,2501,829.35804,445,913,702
2025-03-18,2025,12,2,3459,1027.51238,542,1016,816
2025-03-19,2025,12,3,2843,965.09523,501,1014,718
2025-03-20,2025,12,4,2993,1054.4148,445,1057,625
2025-03-21,2025,12,5,2585,969.42215,438,973,611
2025-03-22,2025,12,6,330,211.20365999999999,6,269,30
2025-03-23,2025,12,7,27,1.944,0,27,1
2025-03-24,2025,13,1,2624,817.28431,568,864,725
2025-03-25,2025,13,2,2835,889.37051,556,878,745
2025-03-26,2025,13,3,2968,1074.123482,534,1111,821
2025-03-27,2025,13,4,3013,1294.79222,430,1367,661
2025-03-28,2025,13,5,2862,958.51059,496,993,687
2025-03-29,2025,13,6,383,207.52146,5,184,47
2025-03-30,2025,13,7,6,0.46799999999999997,0,2,1
2025-03-31,2025,14,1,2666,967.69238,451,861,591
2025-04-01,2025,14,2,3118,1242.95178,417,1182,658
2025-04-02,2025,14,3,3006,1207.17342,382,1202,681
2025-04-03,2025,14,4,2887,997.47517,378,1153,618
2025-04-04,2025,14,5,2398,941.56875,363,942,593
2025-04-05,2025,14,6,258,124.33786,0,127,18
2025-04-07,2025,15,1,2653,960.58376,449,896,654
2025-04-08,2025,15,2,3095,1171.31859,516,1180,732
2025-04-09,2025,15,3,2825,1102.96645,406,1041,650
2025-04-10,2025,15,4,3006,1041.86309,452,1080,663
2025-04-11,2025,15,5,2895,1062.46984,461,1034,657
2025-04-12,2025,15,6,259,119.09656,11,80,48
2025-04-13,2025,15,7,15,5.499,0,8,3
2025-04-14,2025,16,1,2279,789.74524,439,771,617
2025-04-15,2025,16,2,3402,1153.89374,447,1153,666
2025-04-16,2025,16,3,2622,956.30823,437,846,591
2025-04-17,2025,16,4,2511,854.11845,339,834,533
2025-04-18,2025,16,5,1335,521.69571,231,564,343
2025-04-19,2025,16,6,227,65.10269,9,102,38
2025-04-22,2025,17,2,2232,781.55355,455,849,616
2025-04-23,2025,17,3,2983,813.3893,590,801,786
2025-04-24,2025,17,4,3274,1154.25089,510,1195,715
2025-04-25,2025,17,5,2982,1065.45168,380,1037,643
2025-04-26,2025,17,6,302,266.82377,0,261,37
2025-04-27,2025,17,7,93,89.989,0,87,5
2025-04-28,2025,18,1,2825,1070.25783,417,1055,610
2025-04-29,2025,18,2,3077,1070.33663,458,1001,676
2025-04-30,2025,18,3,2542,1049.47308,367,1159,588
2025-05-01,2025,18,4,288,231.09992,0,237,35
2025-05-02,2025,18,5,2157,718.7622,438,717,595
2025-05-03,2025,18,6,348,133.68245,46,118,76
2025-05-04,2025,18,7,18,10.972000000000001,0,18,2
2025-05-05,2025,19,1,2642,894.18593,382,911,619
2025-05-06,2025,19,2,2684,1022.60976,380,987,610
2025-05-07,2025,19,3,3191,1149.6136099999999,437,1147,661
2025-05-08,2025,19,4,2639,746.25321,502,770,665
2025-05-09,2025,19,5,2736,889.66699,424,904,596
2025-05-10,2025,19,6,261,133.50616,1,126,23
2025-05-11,2025,19,7,2,0.094,0,1,1
2025-05-12,2025,20,1,2836,893.16174,469,890,683
2025-05-13,2025,20,2,2986,953.83108,449,911,718
2025-05-14,2025,20,3,3238,1145.43376,493,1141,706
2025-05-15,2025,20,4,3429,1425.04544,420,1410,725
2025-05-16,2025,20,5,2984,1043.10704,467,1084,692
2025-05-17,2025,20,6,411,248.09489,3,211,34
2025-05-19,2025,21,1,2566,959.39744,418,913,632
2025-05-20,2025,21,2,3410,1112.21046,516,1112,744
2025-05-21,2025,21,3,3366,1082.44716,494,1013,734
2025-05-22,2025,21,4,2732,944.51749,431,909,648
