date,receipts_lines,receipts_brutto_kg,receipts_netto_kg,receipts_qty,receipts_cbm,receipts_consumables_kg,receipts_equipment_kg,receipts_other_kg,receipts_docs,receipts_aviza,receipts_unloads,receipts_articles,receipts_suppliers,receipts_countries
2022-02-16,1089.0,412672.0,0.0,279797.0,483.128,366156.49,16402.79,30112.72,185.0,185.0,53.0,289.0,22.0,11.0
2022-02-17,1291.0,834220.0599999999,0.0,39531.0,1020.802,821226.73,6860.66,6132.67,105.0,105.0,59.0,293.0,18.0,9.0
2022-02-18,989.0,535849.84,0.0,39220.0,630.3439999999999,525253.42,7296.43,3299.99,124.0,122.0,63.0,324.0,22.0,14.0
2022-02-19,157.0,152461.56,0.0,4760.0,190.84799999999998,152461.56,0.0,0.0,3.0,3.0,3.0,35.0,1.0,1.0
2022-02-20,773.0,731202.71,0.0,20432.0,918.5029999999999,731202.71,0.0,0.0,16.0,16.0,16.0,89.0,1.0,1.0
2022-02-21,1010.0,524307.43,0.0,60534.0,606.784,515218.35,5987.55,3101.53,118.0,118.0,48.0,333.0,17.0,10.0
2022-02-22,824.0,374434.27,0.0,56175.0,400.894,363150.59,6395.89,4887.79,148.0,147.0,82.0,311.0,28.0,12.0
2022-02-23,1394.0,1063438.26,0.0,44728.0,1315.9569999999999,1053659.49,7936.05,1842.72,108.0,108.0,50.0,247.0,16.0,8.0
2022-02-24,717.0,201033.96,0.0,33312.0,213.116,183225.63,4902.09,12906.24,113.0,113.0,33.0,302.0,10.0,7.0
2022-02-25,1306.0,815579.92,0.0,410893.0,942.893,792018.82,4851.81,18709.29,106.0,106.0,57.0,407.0,20.0,12.0
2022-02-26,324.0,305275.23,0.0,8815.0,380.962,305275.23,0.0,0.0,6.0,6.0,6.0,67.0,1.0,1.0
2022-02-27,610.0,560567.25,0.0,19595.0,705.159,560567.25,0.0,0.0,16.0,16.0,13.0,89.0,1.0,1.0
2022-02-28,582.0,234546.01,0.0,62074.0,215.804,225730.65,4471.27,4344.09,109.0,109.0,54.0,267.0,21.0,10.0
2022-03-01,1343.0,943229.42,0.0,49052.0,1168.233,932812.66,5492.34,4924.42,141.0,140.0,83.0,261.0,34.0,12.0
2022-03-02,1045.0,700914.06,0.0,30377.0,835.634,692240.59,5515.33,3158.14,97.0,97.0,37.0,236.0,11.0,6.0
2022-03-03,1010.0,591900.49,0.0,44276.0,709.857,580269.32,4936.41,6694.76,95.0,95.0,62.0,312.0,16.0,9.0
2022-03-04,868.0,410393.89,0.0,225367.0,467.77299999999997,385063.72,1592.46,23737.71,108.0,108.0,47.0,378.0,27.0,12.0
2022-03-05,205.0,206254.62,0.0,6578.0,254.346,206254.62,0.0,0.0,4.0,4.0,4.0,34.0,1.0,1.0
2022-03-06,819.0,781256.18,0.0,27249.0,970.0559999999999,781256.18,0.0,0.0,16.0,16.0,16.0,121.0,1.0,1.0
2022-03-07,971.0,674934.05,0.0,63284.0,819.677,664912.37,3880.13,6141.55,99.0,99.0,47.0,263.0,15.0,11.0
2022-03-08,903.0,551684.12,0.0,68063.0,668.299,539396.78,6046.56,6240.78,129.0,125.0,66.0,268.0,24.0,11.0
2022-03-09,1075.0,614772.52,0.0,62618.0,751.1469999999999,602790.25,7419.9,4562.37,115.0,115.0,65.0,324.0,15.0,10.0
