date,customer,kmen_total_people,agency_total_people,kmen_inbound_morning,kmen_inbound_afternoon,kmen_loading_morning,kmen_loading_afternoon,kmen_pick_morning,kmen_pick_afternoon,kmen_other_morning,kmen_other_afternoon,agency_inbound_day,agency_inbound_night,agency_loading_day,agency_loading_night,agency_pick_day,agency_pick_night,agency_other_day,agency_other_night,notes,helper_binhits,helper_packing_gw_t,helper_trips_total,helper_containers_count,helper_loaded_orders,helper_loaded_gw_t,helper_inbound_kg,helper_inbound_docs,helper_packing_orders,helper_packing_pallets,helper_activity_people,helper_activity_kmen_people,helper_activity_agency_people,helper_activity_day_people,helper_activity_night_people,helper_esab_share,helper_paid_hours_total,suggested_agency_inbound_day,suggested_agency_inbound_night,suggested_agency_other_day,suggested_agency_other_night,suggested_agency_pick_day,suggested_agency_pick_night,suggested_kmen_inbound_afternoon,suggested_kmen_inbound_morning,suggested_kmen_other_afternoon,suggested_kmen_other_morning,suggested_kmen_pick_afternoon,suggested_kmen_pick_morning,suggested_kmen_loading_morning,suggested_kmen_loading_afternoon,suggested_agency_loading_day,suggested_agency_loading_night,helper_esab_paid_hours,helper_esab_fte_8h
2022-01-29,ESAB,,,,,,,,,,,,,,,,,,,,391.0,156.79261,,,,,205706.3,4.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-01-31,ESAB,,,,,,,,,,,,,,,,,,,,2298.0,968.72608,69.0,4.0,650.0,770.99053,225327.94,94.0,610.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-01,ESAB,,,,,,,,,,,,,,,,,,,,2767.0,932.38456,55.0,1.0,580.0,615.26066,762758.79,142.0,566.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-02,ESAB,,,,,,,,,,,,,,,,,,,,2703.0,1010.95972,63.0,4.0,703.0,760.80429,674569.4299999999,124.0,720.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-03,ESAB,,,,,,,,,,,,,,,,,,,,2660.0,1044.27379,60.0,5.0,631.0,667.38543,479898.52,123.0,608.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-04,ESAB,,,,,,,,,,,,,,,,,,,,2269.0,643.14029,60.0,2.0,713.0,733.80437,490154.47,111.0,702.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-05,ESAB,,,,,,,,,,,,,,,,,,,,298.0,195.22823,,,,,196029.64,5.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-07,ESAB,,,,,,,,,,,,,,,,,,,,2851.0,1040.57662,59.0,4.0,629.0,712.21418,457944.05,82.0,647.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-08,ESAB,,,,,,,,,,,,,,,,,,,,2756.0,968.63896,57.0,0.0,693.0,560.34524,563998.22,106.0,681.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-09,ESAB,,,,,,,,,,,,,,,,,,,,2974.0,1187.30319,62.0,3.0,552.0,574.94006,608769.47,101.0,577.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-10,ESAB,,,,,,,,,,,,,,,,,,,,2585.0,1001.87206,56.0,7.0,643.0,623.64675,364981.06,114.0,641.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-11,ESAB,,,,,,,,,,,,,,,,,,,,2560.0,892.15013,64.0,16.0,613.0,752.10203,994073.07,117.0,623.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-12,ESAB,,,,,,,,,,,,,,,,,,,,343.0,133.5124,,,,,0.0,0.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-14,ESAB,,,,,,,,,,,,,,,,,,,,2549.0,1065.08141,70.0,9.0,734.0,761.82321,570477.09,115.0,751.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-15,ESAB,,,,,,,,,,,,,,,,,,,,2655.0,918.96344,54.0,5.0,687.0,679.74256,650729.24,104.0,655.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-16,ESAB,,,,,,,,,,,,,,,,,,,,3094.0,1138.21363,64.0,7.0,619.0,637.52774,412672.0,185.0,639.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-17,ESAB,,,,,,,,,,,,,,,,,,,,2769.0,997.60529,74.0,7.0,642.0,655.35572,834220.0599999999,105.0,618.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-18,ESAB,,,,,,,,,,,,,,,,,,,,2825.0,941.64477,65.0,6.0,720.0,649.0506,535849.84,124.0,753.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-19,ESAB,,,,,,,,,,,,,,,,,,,,520.0,283.25306,,,,,152461.56,3.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-20,ESAB,,,,,,,,,,,,,,,,,,,,33.0,28.375,,,,,731202.71,16.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-21,ESAB,,,,,,,,,,,,,,,,,,,,2652.0,973.73511,53.0,3.0,727.0,609.30981,524307.43,118.0,712.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-22,ESAB,,,,,,,,,,,,,,,,,,,,2508.0,910.98937,46.0,1.0,694.0,539.35113,374434.27,148.0,697.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-23,ESAB,,,,,,,,,,,,,,,,,,,,2734.0,1067.31708,73.0,17.0,696.0,992.97495,1063438.26,108.0,726.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-24,ESAB,,,,,,,,,,,,,,,,,,,,2500.0,1022.31299,61.0,9.0,583.0,666.39959,201033.96,113.0,577.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-02-25,ESAB,,,,,,,,,,,,,,,,,,,,2532.0,899.16935,78.0,13.0,775.0,1004.70309,815579.92,106.0,763.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
