horizon_days,date,forecast_day_binhits,forecast_night_binhits,forecast_binhits,required_paid_hours,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers
5,2026-04-02,1777.6271142186747,902.9360551363546,2680.5631693550295,980.6296957326131,109,0,43,21,27,18,64,45,70,39
10,2026-04-07,1823.2627473121331,944.5717496305956,2767.834496942729,982.3115115230881,111,0,44,23,28,16,67,44,72,39
15,2026-04-12,0.0,2.5741663344138654,2.5741663344138654,5.9403838486473814,1,0,0,0,0,1,0,1,0,1
20,2026-04-17,1486.6525720518441,698.1365959522294,2184.7891680040734,783.9053121804006,92,0,42,19,20,11,61,31,62,30
30,2026-04-27,1417.0420483475664,549.7768200986422,1966.8188684462086,804.7781245316744,94,0,45,22,18,9,67,27,63,31
60,2026-05-27,1628.6849202045744,727.6274731926113,2356.3123933971856,767.3743164303648,93,0,46,23,15,9,69,24,61,32
90,2026-06-26,1519.780627553837,618.7580503595311,2138.538677913368,767.0390832848392,90,0,42,19,21,8,61,29,63,27
