date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-01-29,2022,4,6,391,156.79261,18,303,0,0.0,391.0,,,,,205706.3,4.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-01-31,2022,5,1,2298,968.72608,371,1301,0,1622.0,676.0,69.0,4.0,650.0,770.99053,225327.94,94.0,610.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-02-01,2022,5,2,2767,932.38456,469,1367,0,1935.0,832.0,55.0,1.0,580.0,615.26066,762758.79,142.0,566.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-02-02,2022,5,3,2703,1010.95972,451,1435,0,1924.0,779.0,63.0,4.0,703.0,760.80429,674569.4299999999,124.0,720.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-02-03,2022,5,4,2660,1044.27379,454,1426,0,1790.0,870.0,60.0,5.0,631.0,667.38543,479898.52,123.0,608.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-02-04,2022,5,5,2269,643.14029,567,948,0,1567.0,702.0,60.0,2.0,713.0,733.80437,490154.47,111.0,702.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-02-05,2022,5,6,298,195.22823,17,249,0,0.0,298.0,,,,,196029.64,5.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-02-07,2022,6,1,2851,1040.57662,453,1435,0,1908.0,943.0,59.0,4.0,629.0,712.21418,457944.05,82.0,647.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-02-08,2022,6,2,2756,968.63896,469,1436,0,1818.0,938.0,57.0,0.0,693.0,560.34524,563998.22,106.0,681.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-02-09,2022,6,3,2974,1187.30319,417,1779,0,1776.0,1198.0,62.0,3.0,552.0,574.94006,608769.47,101.0,577.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
