metric,wape,mae,n_days
fte_8h,0.0030866834946198375,0.22621343003112124,70
headcount_total,0.19477085781433606,9.471428571428572,70
kmen_total,0.34416365824308065,4.085714285714285,70
agency_total,0.17839098328799066,6.557142857142857,70
day_shift_total,0.23123382226056946,7.6571428571428575,70
night_shift_total,0.28084714548802947,4.357142857142857,70
