date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-04-14,Tuesday,1727.0219989851796,868.1719388415343,2595.193937826714,688.7470237168098,60.03974268944362,8.060607366935107,697.2757641480815,445777.99787173513,54.39673911599198,435.1739129279358,39.0,39,0,8,0,21,10,8,31,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-04-15,Wednesday,1724.5314082490318,875.2620198795623,2599.7934281285943,644.3444246578256,61.471443283205026,6.508623995744692,680.6709222580934,424750.50672136305,56.37927367893951,451.0341894315161,41.0,41,0,10,0,19,12,10,31,29,12,56,57,baseline,manual_or_suggested_history,7,0,0,0,3,0,0,0,0,1,0,0,19,11,0,0
2026-04-16,Thursday,1611.2546046095724,802.4886165689602,2413.7432211785326,663.1880855712975,63.20541238981753,6.218188940211736,677.6428060207475,471083.91829305456,57.44432639875466,459.5546111900373,41.0,41,0,8,0,23,10,8,33,31,10,57,58,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,22,9,0,0
2026-04-17,Friday,1486.6525720518441,698.1365959522294,2184.7891680040734,578.4240824337454,68.42994846133189,8.423040642622198,814.0397048933514,360939.5605516323,58.867790942634585,470.9423275410767,41.0,41,0,5,0,23,13,5,36,28,13,59,59,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,0,1,0,0,23,12,0,0
2026-04-18,Saturday,0.0,174.16104338086745,174.16104338086745,664.9737340576778,66.41381051347891,8.029440306276937,771.2499932011103,72606.1414540297,46.57566388773135,372.6053111018508,31.0,31,29,0,0,0,31,0,31,0,31,47,47,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2026-04-19,Sunday,0.0,0.0,0.0,679.4237737820413,67.74170125821729,7.200126426431745,787.5297764467173,397505.5114165656,52.38659942698515,419.0927954158812,36.0,36,23,0,3,0,33,3,33,0,36,52,53,baseline,manual_or_suggested_history,0,3,0,0,0,0,0,0,0,11,0,0,0,22,0,0
2026-04-20,Monday,1488.4179556873453,591.8359949387562,2080.2539506261014,641.8371659261838,61.52376292888962,7.77891570192501,759.4034728785253,449879.6083358198,57.638919383760054,461.11135507008044,41.0,41,0,8,0,19,14,8,33,27,14,58,58,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,1,0,0,18,13,0,0
2026-04-21,Tuesday,1620.862843924719,802.6894542546969,2423.552298179416,685.4925888628744,61.20065505966736,7.070435841663285,734.1656382909871,434082.9788905888,52.65711276821966,421.2569021457573,38.0,38,0,9,0,19,10,9,29,28,10,53,53,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,19,9,0,0
2026-04-22,Wednesday,1631.0022747154983,805.6338807120118,2436.63615542751,636.2685496781917,63.01924349828105,6.641131235695778,727.1052374366725,413681.96515135205,56.07518804916759,448.60150439334075,41.0,41,0,10,0,19,12,10,31,29,12,56,57,baseline,manual_or_suggested_history,7,0,0,0,3,0,0,0,0,1,0,0,19,11,0,0
2026-04-23,Thursday,1516.3550966721675,732.9613771492328,2249.3164738214005,671.2307308958419,64.38780964133286,6.593926587259055,726.2072744984725,454763.1735326843,56.762934200189136,454.1034736015131,41.0,41,0,9,0,20,12,9,32,29,12,57,57,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,3,0,0,19,9,0,0
2026-04-24,Friday,1416.0561667027405,626.3534156954212,2042.4095823981615,573.2687834604419,67.19380687198077,8.762094850217073,836.6058576614246,345361.26529194665,58.99248820236974,471.93990561895794,41.0,41,0,5,0,23,13,5,36,28,13,59,59,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,0,1,0,0,23,12,0,0
