date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-06-08,Monday,1535.340108175392,555.7779709687452,2091.1180791441375,641.8718702441106,60.432329185646175,7.473080815640602,796.3838192739861,431488.4444179672,55.64891089965327,445.1912871972262,40.0,40,0,9,0,20,11,9,31,29,11,56,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,19,10,0,0
2026-06-09,Tuesday,1706.2609515707468,769.2290866899649,2475.4900382607116,653.8393136219711,59.548507363999,7.429206609819506,770.8154321832541,419457.59116842056,54.54700059402609,436.3760047522087,39.0,39,0,8,0,21,10,8,31,29,10,55,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-06-10,Wednesday,1735.4690091695775,786.9908431408029,2522.4598523103805,647.024864793505,61.691800302572794,7.311203384055078,764.1143127361538,410459.15302725194,55.04127200692277,440.33017605538214,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-06-11,Thursday,1652.1212485062529,731.0978528288025,2383.2191013350553,647.9172827529967,63.52054956766923,7.366012140890265,764.7757679133157,451232.8365153879,55.41537641818132,443.32301134545054,40.0,40,0,9,0,20,11,9,31,29,11,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,2,0,0,19,9,0,0
2026-06-12,Friday,1552.296601921757,630.8746719721786,2183.1712738939354,644.3511080836167,68.1322026606729,7.510058721336305,880.4806278091322,347045.2467774189,55.20770954914228,441.66167639313824,38.0,38,0,4,0,19,15,4,34,23,15,55,56,baseline,manual_or_suggested_history,3,0,0,0,1,0,0,0,0,4,0,0,19,11,0,0
2026-06-13,Saturday,0.0,127.75170104513874,127.75170104513874,646.5201119308805,66.17973359326429,7.478517493534875,838.9403633211292,57425.790051758006,54.52793345038347,436.2234676030678,37.0,37,35,1,0,0,36,1,36,1,36,55,55,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2026-06-14,Sunday,24.27237713476604,0.0,24.27237713476604,653.2083978021819,67.9146663364845,7.328078569727586,853.1947449539354,381549.17567820207,54.48847762483615,435.9078209986892,37.0,37,24,0,2,0,35,2,35,0,37,54,55,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,11,0,0,0,24,0,0
2026-06-15,Monday,1568.9602248694832,571.8357243609815,2140.795949230465,642.6161254304874,61.680554858545925,7.468870820809187,822.5151695647355,441452.99186893314,55.50926323781505,444.0741059025204,40.0,40,0,9,0,20,11,9,31,29,11,56,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,19,10,0,0
2026-06-16,Tuesday,1730.7368475230774,779.0833560595587,2509.820203582636,652.4005648043416,60.9208619771213,7.421353127363631,797.3881510094216,427255.0095641981,54.633499787866256,437.06799830293005,39.0,39,0,8,0,21,10,8,31,29,10,55,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-06-17,Wednesday,1748.9331459883736,789.1642968769161,2538.09744286529,647.3905750355323,63.174325372591085,7.339537980723275,790.7500179085104,416843.2881191521,55.0230676908532,440.1845415268256,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-06-18,Thursday,1655.131360724721,728.2656213207335,2383.3969820454545,647.8237539405357,65.0836961937337,7.382717681733831,792.0958582144146,455000.96805529075,55.32175727840031,442.5740582272025,40.0,40,0,9,0,20,11,9,31,29,11,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,2,0,0,19,9,0,0
2026-06-19,Friday,1544.8375218985973,626.3371524979622,2171.1746743965596,645.7990307276793,69.72569581416947,7.480119272490419,908.7127929946446,349435.29424337606,55.101686233001026,440.8134898640082,38.0,38,0,4,0,19,15,4,34,23,15,55,56,baseline,manual_or_suggested_history,3,0,0,0,1,0,0,0,0,4,0,0,19,11,0,0
2026-06-20,Saturday,0.0,120.20587022032667,120.20587022032667,646.3330541678977,67.82275375766696,7.464952895226062,866.1279098058809,59216.89095523674,54.676140670885864,437.4091253670869,37.0,37,35,1,0,0,36,1,36,1,36,55,55,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2026-06-21,Sunday,18.748520041104797,0.0,18.748520041104797,652.0608573216592,69.69367779171577,7.343723009753498,881.4377069897587,382439.9733484642,54.5909130547858,436.7273044382864,37.0,37,24,0,2,0,35,2,35,0,37,55,55,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,11,0,0,0,24,0,0
2026-06-22,Monday,1558.7992681762967,569.0891679316275,2127.888436107924,643.5306112560631,63.61808538530804,7.460118774691068,853.3753582475867,439884.2599640788,55.40152107123885,443.2121685699108,40.0,40,0,9,0,20,11,9,31,29,11,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,19,10,0,0
2026-06-23,Tuesday,1714.6252450873794,774.6678134575512,2489.293058544931,651.306715502009,62.89253872858215,7.425089933460011,830.0884583826431,422064.3880057307,54.718732189293796,437.74985751435037,39.0,39,0,8,0,21,10,8,31,29,10,55,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,3,1,0,0,18,9,0,0
2026-06-24,Wednesday,1727.7677031208266,783.939239955263,2511.7069430760894,647.7627139264434,65.23314065134186,7.354036413990325,826.1653615776522,409556.45737793145,54.988020818199296,439.90416654559436,39.0,39,0,8,0,21,10,8,31,29,10,55,55,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,0,1,0,0,21,9,0,0
2026-06-25,Thursday,1631.0678500293473,722.2803830922409,2353.3482331215882,647.2951900050638,67.22351365593173,7.39804963591422,830.6631440416672,445956.951637986,55.26540245433621,442.1232196346897,40.0,40,0,9,0,20,11,9,31,29,11,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,2,0,0,19,9,0,0
2026-06-26,Friday,1519.780627553837,618.7580503595311,2138.538677913368,646.8558858624417,71.9470436803876,7.455625455947426,948.256989375278,338608.8957670001,55.03268307361173,440.26146458889383,38.0,38,0,4,0,19,15,4,34,23,15,55,56,baseline,manual_or_suggested_history,3,0,0,0,1,0,0,0,0,4,0,0,19,11,0,0
2026-06-27,Saturday,0.0,110.14011891184562,110.14011891184562,646.4107322085548,70.13411145087427,7.451635963936853,907.760381194911,49418.04466292877,54.75991195317522,438.07929562540176,37.0,37,35,1,0,0,36,1,36,1,36,55,55,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
